Subject,Start Date,Description,All Day Event
Day 37: Consistent Hashing,01/19/2026,THEORY: The Hash Ring & Virtual Nodes. LAB: Code a Consistent Hash Ring. Add a node and programmatically count how many keys needed to move.,True
Day 38: Rebalancing,01/20/2026,THEORY: Dynamic Partitioning strategies. LAB: Simulate the 'Justin Bieber' (Hot Partition/Skew) problem in your hashing code.,True
Day 39: Gossip Protocols,01/21/2026,THEORY: SWIM Protocol / Request Routing. Failure Detection. LAB: Implement a basic heartbeat/ping check between 3 nodes.,True
Day 40: Deep Dive - Ringpop,01/22/2026,READ: Uber's 'Ringpop' blog post. Understand application-layer sharding and member lists.,True
Day 41: Lab: Sharded KV Store,01/23/2026,TASK: Combine your Month 1 DB Engine + Month 2 Consistent Hashing logic to make a distributed Key-Value store.,True
Day 42: CDN Internals,01/24/2026,"THEORY: Anycast IP, PoPs, Cache Invalidation Patterns. LAB: Setup Cloudflare (Free) for a static site and inspect headers.",True
Day 43: Byzantine Generals,01/25/2026,THEORY: The Two Generals Problem. Understand why 100% Consensus is mathematically impossible in asynchronous networks.,True
Day 44: Paxos Basics,01/26/2026,"THEORY: Paxos Phases (Prepare/Promise, Propose/Accept). Don't code yet, just understand the Proposer/Acceptor roles.",True
Day 45: Raft (Leader Election),01/27/2026,WATCH: MIT 6.824 Lecture 6 (Raft I). LAB: Use the Raft Visualization tool online. Understand Random Timeouts.,True
Day 46: Raft (Log Replication),01/28/2026,"WATCH: MIT 6.824 Lecture 7 (Raft II). THEORY: The Replicated Log. LAB: Define the Structs/Classes needed for a Raft Node (Term, Log, Index).",True
Day 47: Lab - Build Raft (Part 1),01/29/2026,TASK: Implement the 'Leader Election' ticker and voting logic in Go/Python. Nodes should vote for a candidate.,True
Day 48: Lab - Build Raft (Part 2),01/30/2026,TASK: Implement the 'AppendEntries' RPC to replicate logs from Leader to Followers. Handle the heartbeat.,True
Day 49: Raft Edge Cases,01/31/2026,THEORY: Split Votes & Network Partitions. TASK: Test your Raft implementation by simulating a network partition (drop packets).,True
Day 50: ZooKeeper/Etcd,02/01/2026,WATCH: MIT 6.824 Lecture 8 (ZooKeeper). THEORY: Atomic Broadcast (ZAB). LAB: Run Etcd. Use 'etcdctl' to set keys and watch changes.,True
Day 51: Distributed Locks,02/02/2026,THEORY: The Redlock Algorithm. LAB: Implement a Distributed Lock using Redis (Set NX PX) with a TTL.,True
Day 52: Leader Election (Applied),02/03/2026,THEORY: Using ZK/Etcd for election. LAB: Write 2 Node apps that compete to become 'Active' using the Distributed Lock you built.,True
Day 53: Service Discovery,02/04/2026,THEORY: Client-side vs Server-side discovery. DNS vs Registry. LAB: Register your mock services into Consul or Etcd.,True
Day 54: Deep Dive - Chubby,02/05/2026,READ: Google's Chubby Paper. Understand Coarse-grained locking and how it differs from ZooKeeper.,True
Day 55: Month 2 Review,02/06/2026,"REVIEW: Review DDIA Ch 5, 6, 9. Review your Raft code. Ensure you understand why Split Brain happens.",True
Day 56: Formal Verification,02/07/2026,THEORY: TLA+ Basics. Watch Leslie Lamport's Intro. LAB: Write a simple spec for a bank transfer to see race conditions mathematically.,True
Day 57: Caching Patterns,02/08/2026,"THEORY: Cache-Aside, Write-Through, Thundering Herd. LAB: Implement 'Request Collapsing' middleware to prevent Thundering Herd.",True
Day 58: Kafka Internals,02/09/2026,"THEORY: Topics, Partitions, Offsets, Segments. LAB: Inspect Kafka data files on disk. Identify the .log and .index files.",True
Day 59: Consumer Patterns,02/10/2026,"THEORY: Consumer Groups & Rebalancing protocol. LAB: Start 1 producer, 3 consumers. Kill one consumer, watch the rebalance triggers.",True
Day 60: Message Delivery,02/11/2026,THEORY: At-most-once vs At-least-once. LAB: Write a consumer that crashes before committing the offset. Observe duplicate processing.,True
Day 61: Lab - Exactly Once,02/12/2026,TASK: Build a payment processor using Kafka Transactions (read-process-write atomic). Understand the 'fencing zombie' problem.,True
Day 62: Deep Dive - LinkedIn Logs,02/13/2026,READ: LinkedIn 'Log Structured Streaming' blog. Understand why the Log is the heart of data infrastructure.,True
Day 63: Stream Processing,02/14/2026,"THEORY: Read DDIA Chapter 11. Time Windows (Tumbling vs Sliding). LAB: Implement a Sliding Window counter (e.g., requests in last 5 mins).",True
Day 64: Kubernetes Architecture,02/15/2026,"THEORY: API Server, Etcd, Controller Manager, Scheduler. LAB: 'Kubernetes the Hard Way' (Do the Control Plane setup step).",True
Day 65: Service Mesh,02/16/2026,THEORY: The Sidecar Pattern (Envoy/Istio). LAB: Install Istio. Visualize traffic graph between 2 pods using Kiali/Jaeger.,True
Day 66: Circuit Breakers,02/17/2026,THEORY: Fail Fast to prevent cascading failure. LAB: Implement a Circuit Breaker in code. Test it with a failing backend service.,True
Day 67: API Gateways,02/18/2026,"THEORY: BFF Pattern, Rate Limiting, TLS Termination. LAB: Configure Nginx as a Gateway performing Rate Limiting.",True
Day 68: Deep Dive - Borg,02/19/2026,READ: Google's Borg Paper. Compare the 'Alloc' concept to Kubernetes Pods.,True
Day 69: Lab - K8s Operator,02/20/2026,TASK: Write a simple custom Kubernetes Controller in Go/Python that monitors a ConfigMap and updates a Deployment.,True
Day 70: Formal Verification (Cloud),02/21/2026,THEORY: How AWS proves network correctness (Zelkova). Read AWS automated reasoning blog.,True
Day 71: Tracing,02/22/2026,THEORY: Distributed Context Propagation (TraceID/SpanID). LAB: Instrument an app with Jaeger/OpenTelemetry.,True
Day 72: Metrics,02/23/2026,THEORY: Prometheus (Pull model) vs Push model. LAB: Expose custom metrics (/metrics endpoint) and scrape them with Prometheus.,True
Day 73: Logging,02/24/2026,THEORY: Structured Logging (JSON) vs Text. ELK Stack. LAB: Setup Fluentd to ship logs from Docker to a file or Elasticsearch.,True
Day 74: Auth Deep Dive,02/25/2026,THEORY: OAuth2 flows (Auth Code vs Client Creds). OIDC. LAB: Manually construct an OAuth2 request to Google/GitHub.,True
Day 75: mTLS & Zero Trust,02/26/2026,THEORY: Mutual TLS (Two-way authentication). LAB: Generate CA certificates and configure 2-way SSL between two microservices.,True
Day 76: Lab - Observability Dashboard,02/27/2026,TASK: Build a Grafana Dashboard showing 95th percentile latency and Error Rates for your test app.,True
Day 77: Chaos Engineering,02/28/2026,THEORY: Netflix Chaos Monkey. LAB: Write a script that randomly kills your Docker containers. Ensure the system recovers.,True
Day 78: Big Data (Batch - Spark),03/01/2026,WATCH: MIT 6.824 Lecture 15 (Spark). THEORY: Read DDIA Chapter 10. RDDs. LAB: Write a Spark job to process a large CSV.,True
Day 79: Lambda vs Kappa,03/02/2026,THEORY: Architecture Patterns. Lambda (Speed+Batch) vs Kappa (Stream only). LAB: Draw the architecture for a system needing both Real-time and Historical views.,True
Day 80: Vector Databases,03/03/2026,"THEORY: Embeddings & HNSW Index. LAB: Use OpenAI API to get text embeddings, store them in Pinecone/Milvus.",True
Day 81: Lab - Semantic Search,03/04/2026,"TASK: Build a search bar that finds documents based on 'meaning', not keywords, using your Vector DB.",True
Day 82: Data Warehousing,03/05/2026,THEORY: Snowflake Architecture (Separation of Compute/Storage). Star Schema vs Snowflake Schema.,True
Day 83: Deep Dive - MapReduce,03/06/2026,READ: Google's MapReduce Paper. Understand the Shuffle/Sort phase details.,True
Day 84: Month 3 Review,03/07/2026,"REVIEW: Review Cloud patterns, Kafka internals, and Observability tools.",True
Day 85: Design Typeahead,03/08/2026,"SOURCE: Alex Xu Vol 2. FOCUS: Tries, Prefix search, Top-k caching. Handling trending searches.",True
Day 86: Design Web Crawler,03/09/2026,"SOURCE: Alex Xu Vol 1. FOCUS: URL Frontier, Politeness, DNS resolution, Robot.txt handling.",True
Day 87: Design Dist Scheduler,03/10/2026,"SOURCE: Alex Xu Vol 2. FOCUS: Cron at scale, Leader election for scheduler, Etcd usage.",True
Day 88: Design Ad Aggregator,03/11/2026,"SOURCE: Alex Xu Vol 2. FOCUS: Stream processing, Lambda Architecture, Exactly-once counting.",True
Day 89: Design Collab Editor,03/12/2026,SOURCE: Google Docs logic. FOCUS: Operational Transformation (OT) vs CRDTs. LAB: Build a simple CRDT counter in JS.,True
Day 90: Design Geo-Spatial,03/13/2026,SOURCE: Alex Xu Vol 2 (Uber/Yelp). FOCUS: QuadTrees vs Geohashes. LAB: Play with Redis GEO commands.,True
Day 91: Design Digital Wallet,03/14/2026,"SOURCE: Alex Xu Vol 2. FOCUS: Double-entry ledger, Distributed Transactions, Sagas, Idempotency.",True
Day 92: Design Twitter,03/15/2026,SOURCE: Alex Xu Vol 1. FOCUS: Fan-out on Write vs Fan-out on Read. Hybrid approach for celebrities.,True
Day 93: Design WhatsApp,03/16/2026,"SOURCE: Alex Xu Vol 1. FOCUS: End-to-End Encryption, WebSocket handling, Push Notifications.",True
Day 94: Design Netflix,03/17/2026,"SOURCE: Alex Xu Vol 1. FOCUS: CDN Design, Adaptive Bitrate Streaming, Pre-computing videos.",True
Day 95: Design Google Drive,03/18/2026,"SOURCE: Alex Xu Vol 1. FOCUS: Block-level splitting, Hashing for Deduplication, Sync conflict resolution.",True
Day 96: Design Payment Gateway,03/19/2026,"SOURCE: Stripe Clone. FOCUS: Idempotency keys, Reliability, Reconciliation jobs.",True
Day 97: Design Stock Exchange,03/20/2026,"SOURCE: Alex Xu Vol 2. FOCUS: Matching Engine (FIFO), Ultra-low latency, Multicast for market data.",True
Day 98: Design Hotel Booking,03/21/2026,SOURCE: Alex Xu Vol 2. FOCUS: Concurrency. Handling Overbooking. Optimistic vs Pessimistic Locking.,True
Day 99: Mock Interview 1,03/22/2026,TOPIC: Top K Leaderboard (Gaming). TASK: Record yourself explaining the design for 45 mins. Review the video.,True
Day 100: Mock Interview 2,03/23/2026,TOPIC: Ticketmaster (Booking). TASK: Record yourself. Focus on the locking mechanism for tickets.,True
Day 101: Mock Interview 3,03/24/2026,TOPIC: TinyURL (Unique IDs). TASK: Record yourself. Focus on Base62 encoding and ID generation.,True
Day 102: Mock Interview 4,03/25/2026,TOPIC: Notification Service. TASK: Record yourself. Focus on Queue workers and rate limiting.,True
Day 103: Mock Interview 5,03/26/2026,TOPIC: Rate Limiter. TASK: Record yourself. Focus on Token Bucket algorithm implementation.,True
Day 104: Mock Interview 6,03/27/2026,TOPIC: Instagram. TASK: Record yourself. Focus on Feed generation and Image storage.,True
Day 105: Mock Interview 7,03/28/2026,TOPIC: Parking Garage. TASK: Record yourself. Focus on Object-Oriented Design + System limits.,True
Day 106: Capstone 1 - Crypto Exchange,03/29/2026,TASK: Design a Global Crypto Exchange. Create a 5-page Architecture Doc. Handle Race conditions & Ledger integrity.,True
Day 107: Capstone 1 - Work,03/30/2026,TASK: Define the API Spec (gRPC) and Database Schema (SQL). Draw the component diagram.,True
Day 108: Capstone 1 - Review,03/31/2026,TASK: Self-Audit. What happens if the Matching Engine crashes? How do you recover state?,True
Day 109: Capstone 2 - Zoom Competitor,04/01/2026,"TASK: Design a Video Conference system. Focus on UDP vs TCP, WebRTC, and Media Servers.",True
Day 110: Capstone 2 - Work,04/02/2026,TASK: Define Signaling Server logic and Data center selection logic. Draw the diagram.,True
Day 111: Capstone 2 - Review,04/03/2026,TASK: Self-Audit. How do you handle packet loss? How does the system scale to 1000 users?,True
Day 112: The Future of Data,04/04/2026,READ: DDIA Chapter 12. Data Integration & Unbundling Databases. The Unix philosophy applied to data.,True
Day 113: Review Weakness,04/05/2026,FOCUS: Revisit Raft or Consensus if you are shaky. Re-watch MIT Lecture 6/7 if needed.,True
Day 114: Review Weakness,04/06/2026,FOCUS: Revisit DB Internals (LSM vs B-Tree). Ensure you can explain write amplification.,True
Day 115: Review Weakness,04/07/2026,FOCUS: Revisit K8s/Cloud patterns. Ensure you understand Sidecars and Ingress.,True
Day 116: Final Polish,04/08/2026,TASK: Review Design Interview cheat sheets. Memorize Latency numbers (RAM vs Disk vs Network).,True
Day 117: Final Polish,04/09/2026,TASK: Re-read your notes from Month 1. Trace the journey from a single log file to a distributed database.,True
Day 118: Final Polish,04/10/2026,TASK: Mental Prep. Visualize a successful design interview. Draw one final system just for fun.,True
Day 119: Rest,04/11/2026,TASK: Do absolutely nothing. Sleep. Let the knowledge settle.,True
Day 120: MASTERY ACHIEVED,04/12/2026,STATUS: You are now a Principal Engineer level architect. Congratulations.,True
